                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9665,                 1.1702,                 1.3563,                 0.4922,                0.38695,                0.42553,                0.17996,                 2.6226,                 1.7953,                 1.7551,             0.00044909,             0.00044909,             0.00044909
                     35,                 1.9839,                 1.2122,                 1.3728,                 0.5493,                0.37311,                0.43499,                  0.187,                 2.6032,                 1.8109,                 1.7551,             0.00044249,             0.00044249,             0.00044249
                     36,                 1.9037,                 1.1204,                 1.3754,                0.48644,                0.46151,                0.46341,                 0.1958,                 2.5866,                 1.7571,                 1.7681,             0.00043588,             0.00043588,             0.00043588
                     37,                 1.9612,                 1.1352,                  1.408,                0.55201,                0.50643,                0.51497,                0.20561,                  2.587,                 1.8135,                 1.7759,             0.00042928,             0.00042928,             0.00042928
                     38,                 1.8497,                    1.1,                 1.3106,                0.54602,                0.43015,                0.46444,                0.20439,                 2.5958,                 1.7443,                 1.7683,             0.00042268,             0.00042268,             0.00042268
                     39,                 1.9206,                 1.1113,                 1.2888,                0.49144,                0.45143,                0.47627,                0.20729,                 2.5908,                 1.7432,                 1.7652,             0.00041607,             0.00041607,             0.00041607
                     40,                 1.8195,                 1.0412,                  1.321,                0.50765,                0.45125,                0.48678,                0.21042,                 2.5861,                  1.717,                 1.7649,             0.00040947,             0.00040947,             0.00040947
                     41,                 1.8949,                 1.0662,                 1.3352,                0.49917,                0.44896,                0.48207,                0.20885,                 2.5997,                 1.6346,                 1.7724,             0.00040287,             0.00040287,             0.00040287
                     42,                 1.7815,                 1.0502,                  1.257,                0.52412,                0.47369,                0.50418,                0.22112,                 2.5791,                 1.6044,                 1.7713,             0.00039626,             0.00039626,             0.00039626
                     43,                 1.8656,                 1.0558,                 1.3097,                0.52006,                0.47935,                0.50652,                0.21391,                 2.5882,                 1.6028,                 1.7771,             0.00038966,             0.00038966,             0.00038966
                     44,                 1.8596,                 1.0191,                 1.2812,                0.55765,                0.46992,                0.50775,                0.20926,                 2.5932,                   1.64,                 1.7788,             0.00038306,             0.00038306,             0.00038306
                     45,                 1.8516,                 1.0945,                 1.3579,                0.48897,                0.47793,                0.52365,                0.20984,                 2.5903,                 1.6359,                 1.7741,             0.00037645,             0.00037645,             0.00037645
                     46,                 1.8034,                 1.0637,                 1.2663,                0.44457,                0.55064,                0.54301,                0.22374,                 2.5895,                 1.7295,                 1.7583,             0.00036985,             0.00036985,             0.00036985
                     47,                 1.8513,                 1.0378,                 1.2977,                0.63468,                0.47999,                0.54901,                0.21959,                 2.6012,                 1.7245,                 1.7502,             0.00036325,             0.00036325,             0.00036325
                     48,                 1.7544,                0.95707,                 1.2399,                0.62155,                0.54482,                0.54231,                0.22017,                 2.6286,                 1.6708,                 1.7763,             0.00035664,             0.00035664,             0.00035664
                     49,                 1.7405,                0.95684,                 1.2589,                0.57932,                0.60846,                0.58815,                0.22681,                 2.6666,                 1.6134,                 1.8059,             0.00035004,             0.00035004,             0.00035004
                     50,                 1.8017,                0.96965,                  1.292,                0.49774,                0.57809,                0.51989,                 0.2187,                 2.6547,                 1.5957,                 1.8024,             0.00034344,             0.00034344,             0.00034344
                     51,                 1.6486,                0.92933,                 1.2558,                 0.5269,                0.53892,                0.53433,                0.21834,                 2.6493,                 1.6143,                 1.7921,             0.00033683,             0.00033683,             0.00033683
                     52,                 1.6891,                0.93159,                 1.2595,                0.51968,                0.56807,                0.53743,                0.21912,                 2.6583,                 1.6362,                 1.7944,             0.00033023,             0.00033023,             0.00033023
                     53,                 1.6946,                0.94436,                 1.2851,                0.53673,                0.56492,                0.54066,                0.21571,                 2.6477,                 1.6688,                 1.7947,             0.00032363,             0.00032363,             0.00032363
                     54,                 1.6973,                0.88387,                  1.282,                0.44626,                0.53734,                0.50841,                0.20994,                 2.6333,                 1.6722,                 1.8008,             0.00031703,             0.00031703,             0.00031703
                     55,                 1.5895,                0.86955,                 1.2485,                 0.4895,                0.52039,                0.52788,                 0.2193,                  2.635,                 1.6515,                 1.8147,             0.00031042,             0.00031042,             0.00031042
                     56,                 1.6876,                0.90922,                  1.232,                0.51052,                0.52923,                0.53349,                0.21931,                 2.6501,                 1.6414,                 1.8318,             0.00030382,             0.00030382,             0.00030382
                     57,                 1.7136,                0.92667,                 1.2688,                0.46232,                0.53954,                0.53223,                0.22302,                  2.662,                 1.6188,                 1.8467,             0.00029722,             0.00029722,             0.00029722
                     58,                  1.631,                0.84379,                 1.2379,                 0.5154,                0.59313,                0.54016,                0.23198,                 2.6593,                 1.5915,                 1.8527,             0.00029061,             0.00029061,             0.00029061
