                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7677,                  4.372,                  1.917,                0.01521,                0.10554,                0.02824,                0.00807,                 2.7665,                 4.0242,                 1.9248,              2.668e-05,              2.668e-05,              2.668e-05
                      2,                 2.6408,                 3.6538,                 1.7835,                0.27048,                0.16484,                0.14535,                0.06314,                 2.8623,                  3.456,                 1.9605,             5.9832e-05,             5.9832e-05,             5.9832e-05
                      3,                 2.5576,                 2.5033,                 1.5652,                 0.3118,                0.22115,                0.13274,                0.04819,                 2.8894,                 3.3074,                 1.8959,             9.2764e-05,             9.2764e-05,             9.2764e-05
                      4,                 2.4482,                 2.0858,                 1.5131,                0.65263,                 0.2158,                0.20647,                0.07589,                 2.8189,                  3.037,                 1.8114,             0.00012548,             0.00012548,             0.00012548
                      5,                 2.4723,                 2.0296,                 1.5287,                 0.4745,                0.15164,                0.17537,                0.06314,                 2.7017,                  3.197,                  1.775,             0.00015797,             0.00015797,             0.00015797
                      6,                 2.3485,                 1.8907,                 1.4705,                0.84097,                 0.1661,                0.21121,                 0.0844,                 2.6982,                 3.4485,                  1.756,             0.00019024,             0.00019024,             0.00019024
                      7,                 2.2625,                 1.7473,                 1.5274,                0.62796,                0.24501,                0.28184,                0.10811,                 2.7089,                 2.4955,                 1.8141,             0.00022229,             0.00022229,             0.00022229
                      8,                 2.2876,                 1.6687,                 1.4907,                0.41778,                0.34825,                0.31068,                0.13252,                   2.68,                 2.2221,                  1.843,             0.00025412,             0.00025412,             0.00025412
                      9,                 2.1909,                 1.4996,                 1.4277,                0.63334,                  0.341,                0.34145,                0.14182,                 2.6637,                 2.5898,                 1.8778,             0.00028573,             0.00028573,             0.00028573
                     10,                 2.2417,                 1.5515,                  1.507,                 0.3671,                0.32011,                0.26628,                0.10337,                 2.6452,                 3.1688,                 1.8301,             0.00031712,             0.00031712,             0.00031712
                     11,                  2.206,                 1.4607,                 1.4308,                0.26778,                0.33933,                0.23854,                0.07293,                  2.686,                 6.4171,                 1.8087,             0.00034829,             0.00034829,             0.00034829
                     12,                 2.2079,                 1.4817,                 1.5195,                0.26433,                0.30486,                  0.224,                0.06968,                 2.6037,                 3.5557,                 1.7415,             0.00037924,             0.00037924,             0.00037924
                     13,                 2.1157,                 1.5421,                 1.4728,                0.27668,                0.31142,                0.26014,                0.09458,                 2.6227,                 3.0245,                 1.7617,             0.00040998,             0.00040998,             0.00040998
                     14,                 2.1463,                 1.3407,                 1.4529,                0.56612,                0.30576,                0.33542,                0.13775,                 2.6428,                  2.688,                 1.8114,             0.00044049,             0.00044049,             0.00044049
                     15,                 2.1439,                  1.374,                  1.443,                0.49696,                0.40289,                 0.4275,                0.17795,                 2.5791,                 2.4007,                  1.768,             0.00047078,             0.00047078,             0.00047078
                     16,                 2.0982,                  1.326,                 1.4172,                0.53473,                0.40364,                0.40133,                0.16706,                  2.585,                 2.0615,                 1.7745,             0.00050085,             0.00050085,             0.00050085
                     17,                 2.1993,                 1.3867,                 1.4555,                0.32961,                 0.4124,                0.41823,                0.14976,                 2.6253,                 1.9213,                 1.7742,              0.0005307,              0.0005307,              0.0005307
                     18,                 2.1786,                 1.3027,                 1.4354,                0.57433,                0.40647,                0.45378,                0.15762,                 2.6612,                 2.0016,                 1.8139,             0.00056033,             0.00056033,             0.00056033
                     19,                 2.1586,                 1.3353,                 1.4114,                0.71612,                0.33005,                  0.431,                0.15215,                 2.6395,                 1.9886,                 1.8067,             0.00058974,             0.00058974,             0.00058974
                     20,                 2.1462,                 1.2802,                 1.4108,                0.72178,                  0.345,                0.39488,                0.15046,                 2.6291,                 1.8452,                 1.7728,             0.00061893,             0.00061893,             0.00061893
